epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,20786.2,0.79856,0.68277,0.95314,0.42264,0.81561,0.48165,0.35313,0.93493,1.549,1.01152,0.000495266,0.000495266,0.000495266
73,21067,0.80885,0.70467,0.94719,0.4251,0.83783,0.46357,0.34505,0.9448,1.47378,1.02635,0.000478762,0.000478762,0.000478762
74,21347.9,0.79673,0.69156,0.94622,0.44302,0.8059,0.46545,0.33483,0.98711,1.53064,1.04562,0.000462259,0.000462259,0.000462259
75,21628.8,0.82509,0.7158,0.95852,0.38908,0.75668,0.39866,0.28564,0.98914,1.65149,1.03035,0.000445756,0.000445756,0.000445756
76,21909.7,0.82844,0.70217,0.95372,0.46698,0.75743,0.48266,0.35589,0.95173,1.45671,1.01889,0.000429253,0.000429253,0.000429253
77,22191,0.77795,0.67938,0.94681,0.43401,0.73795,0.45767,0.33358,0.97673,1.50169,1.03462,0.000412749,0.000412749,0.000412749
78,22472.2,0.77531,0.64272,0.9416,0.42364,0.78616,0.44271,0.32697,0.94776,1.57967,1.02343,0.000396246,0.000396246,0.000396246
79,22753,0.80229,0.66849,0.95908,0.40403,0.80366,0.44706,0.32487,0.98092,1.67186,1.04318,0.000379743,0.000379743,0.000379743
80,23035,0.7749,0.6303,0.94097,0.42839,0.8225,0.45214,0.32514,0.99523,1.63816,1.0443,0.000363239,0.000363239,0.000363239
81,23316.3,0.75849,0.64005,0.93214,0.41148,0.75422,0.43678,0.31492,0.97542,1.79306,1.03546,0.000346736,0.000346736,0.000346736
82,23597.3,0.78098,0.64374,0.94696,0.41673,0.7667,0.44027,0.32242,0.96715,1.74224,1.03783,0.000330233,0.000330233,0.000330233
83,23877.5,0.77432,0.6359,0.94856,0.43138,0.81841,0.44724,0.31921,0.99293,1.64898,1.03534,0.000313729,0.000313729,0.000313729
84,24158,0.75725,0.62309,0.93479,0.42838,0.79827,0.45742,0.33356,0.9634,1.60058,1.03325,0.000297226,0.000297226,0.000297226
85,24438.5,0.78618,0.62895,0.94406,0.42199,0.76093,0.47313,0.34837,0.93132,1.58005,1.00465,0.000280723,0.000280723,0.000280723
86,24719.7,0.76616,0.62666,0.94574,0.3983,0.74474,0.42888,0.30844,0.95138,2.00084,1.01854,0.00026422,0.00026422,0.00026422
87,25000.9,0.76442,0.59772,0.94313,0.43008,0.7958,0.4652,0.34184,0.94755,1.66199,1.01546,0.000247716,0.000247716,0.000247716
88,25281.4,0.74971,0.5986,0.93287,0.43691,0.77073,0.4676,0.34345,0.94124,1.63675,1.0114,0.000231213,0.000231213,0.000231213
89,25562.4,0.7393,0.57879,0.92498,0.43062,0.77275,0.46486,0.33625,0.96584,1.71185,1.0328,0.00021471,0.00021471,0.00021471
90,25843.1,0.77291,0.59316,0.94517,0.43005,0.76043,0.45348,0.32913,0.97759,1.83905,1.02797,0.000198206,0.000198206,0.000198206
91,26121.9,0.71382,0.53202,0.91749,0.43523,0.76769,0.45559,0.33518,0.95347,1.67405,1.02647,0.000181703,0.000181703,0.000181703
92,26408.1,0.67791,0.48744,0.89174,0.43466,0.75831,0.46743,0.33926,0.95518,1.65673,1.02498,0.0001652,0.0001652,0.0001652
93,26688.6,0.68423,0.47871,0.89921,0.42687,0.75619,0.45093,0.32935,0.95789,1.67731,1.03533,0.000148696,0.000148696,0.000148696
94,26967.6,0.67813,0.47413,0.91165,0.41584,0.74672,0.44256,0.32459,0.9648,1.77976,1.03198,0.000132193,0.000132193,0.000132193
95,27245.4,0.67289,0.46116,0.89747,0.45361,0.67525,0.46563,0.34789,0.94452,1.6619,1.02724,0.00011569,0.00011569,0.00011569
96,27523.2,0.66467,0.45132,0.89197,0.4323,0.75112,0.4658,0.34557,0.94724,1.7771,1.02788,9.91865e-05,9.91865e-05,9.91865e-05
97,27801.2,0.66727,0.4417,0.89494,0.43591,0.73135,0.46427,0.34373,0.95873,1.73776,1.03432,8.26832e-05,8.26832e-05,8.26832e-05
98,28078.8,0.66442,0.44982,0.89538,0.41467,0.74209,0.4428,0.32448,0.96211,1.89134,1.03699,6.61799e-05,6.61799e-05,6.61799e-05
99,28356.7,0.66255,0.44222,0.89537,0.42741,0.71819,0.4567,0.3377,0.94422,1.73378,1.02782,4.96766e-05,4.96766e-05,4.96766e-05
100,28634.7,0.65353,0.4529,0.89185,0.43566,0.71947,0.46322,0.34172,0.94518,1.73049,1.02791,3.31733e-05,3.31733e-05,3.31733e-05
